八只鸡	高建国	方城淞	剧情	中国大陆	2018-07-19	No Choice		null
碟中谍6：全面瓦解	克里斯托弗·麦奎里	汤姆·克鲁斯/亨利·卡维尔/文·瑞姆斯/西蒙·佩吉/丽贝卡·弗格森/西恩·哈里斯/安吉拉·贝塞特/凡妮莎·柯比/米歇尔·莫纳汉/韦斯·本特利/费雷德里克·施密特/亚历克·鲍德温/Andrew Cazanave Pin/拉裴尔·德普雷/Jean Baptiste Fillon/Olivier Huband/Alexandre Poole/Alix Bénézech/乔伊·安沙/维利贝·托皮奇/卡斯珀·菲利普森/Russ Bain/戴维·奥拉瓦莱·阿印德/Nigel Allen/Ffion Jolly/戈登·亚历山大/Alexis Barbosa/Julianne Binard/Tahir Burhan/斯图尔特·戴维森/Shawn Dixon/Charlie Rhea Esquér/Grahame Fox/Samuel Gaspard/Lampros Kalfuntzos/Gary Kiely/Godiva Marshall/Zivile Matikiene/大卫·穆梅尼/罗斯·奥亨尼西/Hiten Patel/Jag Patel/Ansh Rathore/Wyatt Alexander/伯纳多·桑托斯/Conny Sharp/Wei-Chen Sun/Jessie Vinning/Connor Wolf	动作/惊悚/冒险	美国	2018-08(中国	碟中谍6/不可能的任务：全面瓦解(台)/职业特工队：叛逆之谜(港)/Mission: Impossible 6/MI6		null
镰仓物语	山崎贵	堺雅人/高畑充希/堤真一/安藤樱/三浦友和/田中泯/药师丸博子/中村玉绪/市川实日子	剧情/奇幻	日本	2018-08(中国	Destiny: Kamakura Monogatari	6.8	6667
影	张艺谋	邓超/孙俪/郑恺/王千源/王景春/胡军/关晓彤/吴磊	剧情/动作/古装	中国大陆	2018-08(中国	三国·荆州/荆州保卫战/Shadow		null
边境杀手2：边境战士	斯特法诺·索利马	本尼西奥·德尔·托罗/乔什·布洛林/伊莎贝拉·莫奈/凯瑟琳·基纳/杰弗里·多诺万/马修·莫迪恩/吉姆·戴佛提/伊恩·鲍汉/曼努埃尔·加西亚-鲁尔福/杰克·皮克金/布鲁诺·庇屈/杰克莫·巴泽尔	剧情/动作/犯罪	美国 / 意大利	2018-08(中国	怒火边界2：毒刑者(台)/毒裁者2(港)/边境杀手2：战士/边境杀手2：兵凶战危/边境杀手2：并肩作战	6.7	530
找到你	吕乐	姚晨/马伊琍/袁文康/吴昊宸/王梓尘/陶昕然/高叶	剧情	中国大陆	2018-08(中国	谜踪/Lost, Found	8.0	512
营救汪星人	梁婷	成毅/崔雅涵/林雪/文松/欧弟/赵一涵/郑则仕/周延/李天佑/梁超/詹瑞文/雪村/王泷正/周嘉诚/张美娥	喜剧/动作/冒险	中国大陆	2018-08(中国	Year of the Dogs/The Big Rescue		null
精灵旅社3：疯狂假期	格恩迪·塔塔科夫斯基	亚当·桑德勒/凯瑟琳·哈恩/史蒂夫·布西密/安迪·萨姆伯格/赛琳娜·戈麦斯/梅尔·布鲁克斯/科甘-迈克尔·凯/法兰·德瑞雪/大卫·斯佩德/凯文·詹姆斯/莫莉·香侬/格恩迪·塔塔科夫斯基/乔·怀特/克莉丝汀·泰根/乔·乔纳斯/吉姆·加菲根	喜剧/动画/奇幻	美国	2018-08(中国	鬼灵精怪大酒店3：怪兽旅行团(港)/尖叫旅社3：怪兽假期(台)		null
断片之险途夺宝	罗登	葛优/岳云鹏/杜淳/蔡卓妍/包贝尔/小沈阳/陈赫/潘斌龙/热依扎/吕行/许君聪/吴俊余/武强	喜剧/冒险	中国大陆	2018-08(中国	断片儿/Mad Ebriety		null
新乌龙院之笑闹江湖	朱延平	吴孟达/郝劭文/叶全真/宋小宝/曾志伟/梁超/王宁/孔连顺/王智/张子栋/李欣蕊/张峻豪/今井隆星	喜剧/动作	中国大陆	2018-08(中国	新乌龙院/Oolong Courtyard		null
沉默的证人	雷尼·哈林	张家辉/杨紫/任贤齐/李成敏/冯嘉怡/陈家乐/马书良/欧阳靖/郭晋安/郭羡妮/吴卓羲/明鹏	动作/犯罪	中国大陆	2018-08(中国	Bodies at Rest		null
墨多多谜境冒险	王竞	秦昊/柳岩/莫玺杨/孙浠伦/张煜雯/刘思慎/蔡国庆	剧情/奇幻	中国大陆	2018-08(中国	查理九世/Charlie IX & Dodomo		null
武林怪兽	刘伟强	古天乐/周冬雨/郭碧婷/陈学冬/包贝尔/林家栋/潘斌龙/王太利/孔连顺	动作/奇幻/武侠	中国大陆 / 香港	2018-08(中国	When Robbers Meet The Monster		null
真相漩涡	西蒙·凯瑟	盖·皮尔斯/皮尔斯·布鲁斯南/明妮·德里弗/奥德娅·拉什/克拉克·格雷格/亚历山德拉·希普/杰米·肯尼迪/斯特灵·比尤芒/芙蕾雅·廷利/卡尔洛·罗塔/肖恩·布莱克默	剧情/悬疑/惊悚	美国 / 瑞典	2018-08(中国	纺纱人/真相旋涡	5.8	713
苏丹	阿里·阿巴斯·札法	萨尔曼·汗/安努舒卡·莎玛/马雷塞·克伦普/泰伦·伍德利/罗恩·斯穆安伯格/马克·扎罗/兰迪普·弘达/阿米特·萨特/卡比尔·汗/汉斯·马雷罗/布拉汉姆·艾克巴赫/库玛·米什拉/库布拉·萨特/帕里卡沙特.萨赫尼/希巴妮·丹德卡尔/法如克·贾法尔	剧情/运动	印度	2018-08(中国	摔跤手苏丹/卷土重来	7.6	594
跨越8年的新娘	濑濑敬久	佐藤健/土屋太凤/北村一辉/浜野谦太/中村友理/堀部圭亮/古馆宽治/杉本哲太/药师丸博子	剧情/爱情	日本	2018-08(中国	跨越八年的新娘	7.0	335
李宗伟：败者为王	马逸腾	李国煌/杨雁雁/拿督罗斯彦诺/黄炜杰/曾冠源/李宗伟/Ashley Hua	剧情/传记/运动	马来西亚	2018-08(中国	李宗伟/败者为王		null
午夜幽灵	李耀东	宫哲/张楠/健子/贲蓝琪/梅俪儿/廖娟/李景良/孙雨乐	悬疑/惊悚/恐怖	中国大陆	2018-08(中国	Midnight Ghost		null
忠犬大营救	张帆	刘晓晔/纪帅/吴晴/杨舒涵/张山/黄一飞	喜剧/动作	中国大陆	2018-08(中国	null		null
黑脸大包公之西夏风云	李长炎	倪其涵/骆材璐/曾杰/王昊阳/王贝/夏柏/林泉/彭鹏	动作/动画	中国大陆	2018-08(中国	Justice Bao detect XiXia		null
阿里巴巴三根金发	蒋叶峰	null	喜剧/动画/冒险	中国大陆	2018-08(中国	null		null
幸福魔咒	韩志	范逸臣/屈菁菁/李乃文/鄂博/巴多/李勤勤/李晓川/刘显达/成泰燊	爱情	中国大陆	2018-08(中国	null		null
黑暗深处之惊魂夜	玉素	崔小田/高志刚/葛凌芮/李劲峰/林潇/刘冰峰/梦颖/邹洁仪	悬疑/惊悚/恐怖	中国大陆	2018-09-07	Nightmare of Darkness		null
恩师	杨江	刘婧/翼贞贞/赵炳锐	剧情	中国大陆	2018-09-10	null		null
勇敢往事	叶田	赵静/王勇/刘磊/屠画/龚芳妮/潘兴源/范泽威/蒋敏斐/脑门额尔德尼	剧情	中国大陆	2018-09-12	null		null
江湖儿女	贾樟柯	赵涛/廖凡/徐峥/梁嘉艳/冯小刚/刁亦男/张一白/丁嘉丽/张译/董子健/冯家妹	爱情/犯罪	中国大陆 / 法国	2018-09-21	金钱与爱情/灰烬是最洁白的/Ash is Purest White/Money & Love/Les Eternels		null
一生有你	卢庚戌	徐娇/谢彬彬/晏紫东/黄婷婷/吕绍聪/金志文	爱情	中国大陆	2018-09-21	Miss Forever		null
禹神传之寻找神力	李金保	王雪沁/吴凡/周宗禹/张艺文/唐泽宗	动画/奇幻/冒险	中国大陆	2018-09-22	禹神传：寻找神力/The Story of Yu-Looking for Power		null
李茶的姑妈	吴昱翰	黄才伦/艾伦/宋阳/卢靖姗	喜剧	中国大陆	2018-09-30	Hello, Mrs. Money		null
无双	庄文强	周润发/郭富城/张静初/廖启智/王耀庆/孙佳君/张松枝/张建声/方中信/冯文娟/吴嘉龙	动作/犯罪	中国大陆 / 香港	2018-09-30	Project Gutenberg		null
云南虫谷	非行	蔡珩/顾璇/于恒/成泰燊/马浴柯/陈雨锶	悬疑/奇幻/冒险	中国大陆	2018-09-30	鬼吹灯之云南虫谷/Mo Jin		null
胖子行动队	包贝尔	包贝尔/文章/李成敏/许君聪/曾一竣/张梦露/郭京飞/仓田保昭/木幡龙/戚玉武/文隽/宋佳/辣目洋子	喜剧/爱情	中国大陆	2018-09-30	Fat Buddies		null
悲伤逆流成河	落落	赵英博/任敏/辛云来/章若楠/朱丹妮	剧情/爱情	中国大陆	2018-09-30	悲伤逆流成河电影版		null
山2	阿尔珀·卡格拉	欧赞·艾贾/贝迪·埃金/缪拉·阿金/艾露·阿鲁拉/乌富克·巴伊拉克塔尔/艾琥·图尔克潘贾/阿茜雅·欧兹肯	剧情/战争	土耳其	2018-09(中国	The Mountain II	6.8	7297
护垫侠	R·巴尔基	阿克谢·库玛尔/拉迪卡·艾普特/索娜姆·卡普尔/阿米达普·巴强/雷.雷富	剧情/喜剧/传记	印度	2018-09(中国	大姨夫	7.7	4024
阳台上	张猛	周冬雨/王锵	剧情	中国大陆	2018-09(中国	On the Balcony		null
